,Date,Timestamp,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer
,,,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure
,,,ethereum,Total,ethereum,ethereum,ethereum,Total,Total,Total,ethereum,ethereum,ethereum,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH
,14/06/2023,1686700800,13300350.136079311,13300350.136079311,5273760,2636077.2403911487,5390512.895688162,5273760,2636077.2403911487,5390512.895688162,3200,1538.0936834929041,3038.586315649295,3200,1538.0936834929041,3038.586315649295
,15/06/2023,1686787200,16484319.97837695,16484319.97837695,5289312,5507903.9835732365,5687103.994803714,5289312,5507903.9835732365,5687103.994803714,3200,3199.9999904563256,3199.9999970761714,3200,3199.9999904563256,3199.9999970761714
,16/06/2023,1686873600,16557169.148566663,16557169.148566663,5315249.166704667,5528703.983511203,5713215.9983507935,5315249.166704667,5528703.983511203,5713215.9983507935,3200.3571507647785,3199.9999904563256,3199.9999990762713,3200.3571507647785,3199.9999904563256,3199.9999990762713
,17/06/2023,1686960000,17099837.46594798,17099837.46594798,5491165.483014953,5707903.982976757,5900767.99995627,5491165.483014953,5707903.982976757,5900767.99995627,3200.6886624164754,3199.9999904563256,3199.999999976285,3200.6886624164754,3199.9999904563256,3199.999999976285
,18/06/2023,1687046400,17177115.612009607,17177115.612009607,5518235.629101948,5731071.982907661,5927808,5518235.629101948,5731071.982907661,5927808,3201.03697399599,3199.9999904563256,3200,3201.03697399599,3199.9999904563256,3200
,19/06/2023,1687132800,17161176.443781808,17161176.443781808,5513240.460848859,5722591.982932951,5925344,5513240.460848859,5722591.982932951,5925344,3201.370647649077,3199.9999904563256,3200,3201.370647649077,3199.9999904563256,3200
,20/06/2023,1687219200,17335749.179353837,17335749.179353837,5563077.196612235,5786751.982741601,5985920,5563077.196612235,5786751.982741601,5985920,3201.6789137649193,3199.9999904563256,3200,3201.6789137649193,3199.9999904563256,3200
,21/06/2023,1687305600,17929755.411205996,17929755.411205996,5755899.429053525,5984287.982152469,6189568,5755899.429053525,5984287.982152469,6189568,3202.026852242195,3199.9999904563256,3200,3202.026852242195,3199.9999904563256,3200
,22/06/2023,1687392000,19083949.912620865,19083949.912620865,6126424.057929606,6367167.981010569,6590357.873680691,6126424.057929606,6367167.981010569,6590357.873680691,3202.371063530522,3199.9999904563256,3199.870785494395,3202.371063530522,3199.9999904563256,3199.870785494395
,23/06/2023,1687478400,18695588.077678952,18695588.077678952,6001988.096364765,6238495.981394321,6455103.999919867,6001988.096364765,6238495.981394321,6455103.999919867,3202.7342805118224,3199.9999904563256,3199.9999999602755,3202.7342805118224,3199.9999904563256,3199.9999999602755
